UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
P20794,MAK,GO:0032391|GO:0007275|GO:0046777|GO:0006468|GO:0005930|GO:0001750|GO:1902856|GO:0005524|GO:0031514|GO:0072686|GO:0045494|GO:0005929|GO:0035556|GO:0060271|GO:0007283|GO:0004672|GO:0005634|GO:0005813|GO:1903508|GO:0005515|GO:0003713|GO:0042073|GO:0046872|GO:0005737|GO:0030154|GO:0010468|GO:0004707|GO:0030496|GO:0001917,photoreceptor connecting cilium|multicellular organism development|protein autophosphorylation|protein phosphorylation|axoneme|photoreceptor outer segment|negative regulation of non-motile cilium assembly|ATP binding|motile cilium|mitotic spindle|photoreceptor cell maintenance|cilium|intracellular signal transduction|cilium assembly|spermatogenesis|protein kinase activity|nucleus|centrosome|positive regulation of nucleic acid-templated transcription|protein binding|transcription coactivator activity|intraciliary transport|metal ion binding|cytoplasm|cell differentiation|regulation of gene expression|MAP kinase activity|midbody|photoreceptor inner segment,Serine/threonine-protein kinase MAK,,4,
Q9UIL4,KIF25,GO:0016887|GO:0051294|GO:0005871|GO:0006996|GO:0007018|GO:0008569|GO:0046603|GO:0008017|GO:0005874|GO:0005524|GO:0005623|GO:0005813|GO:0003777|GO:0051289|GO:0005737|GO:0010507|GO:0000070|GO:0051647,ATPase activity|establishment of spindle orientation|kinesin complex|organelle organization|microtubule-based movement|ATP-dependent microtubule motor activity  minus-end-directed|negative regulation of mitotic centrosome separation|microtubule binding|microtubule|ATP binding|cell|centrosome|microtubule motor activity|protein homotetramerization|cytoplasm|negative regulation of autophagy|mitotic sister chromatid segregation|nucleus localization,Kinesin-like protein KIF25,KNSL3,3,
Q96AV8,E2F7,GO:0090575|GO:0008285|GO:0016607|GO:0000978|GO:0002040|GO:0043565|GO:0001227|GO:0001890|GO:0045944|GO:0005654|GO:0000122|GO:0003700|GO:0006977|GO:0070365|GO:0060707|GO:0071930|GO:0032466|GO:2000134|GO:0051726|GO:0042802|GO:0000987|GO:0008134|GO:0000981|GO:0003677|GO:0005634|GO:0000790|GO:0005515|GO:0003714|GO:0060718|GO:0030330|GO:0032877,RNA polymerase II transcription regulator complex|negative regulation of cell population proliferation|nuclear speck|RNA polymerase II cis-regulatory region sequence-specific DNA binding|sprouting angiogenesis|sequence-specific DNA binding|DNA-binding transcription repressor activity  RNA polymerase II-specific|placenta development|positive regulation of transcription by RNA polymerase II|nucleoplasm|negative regulation of transcription by RNA polymerase II|DNA-binding transcription factor activity|DNA damage response  signal transduction by p53 class mediator resulting in cell cycle arrest|hepatocyte differentiation|trophoblast giant cell differentiation|negative regulation of transcription involved in G1/S transition of mitotic cell cycle|negative regulation of cytokinesis|negative regulation of G1/S transition of mitotic cell cycle|regulation of cell cycle|identical protein binding|cis-regulatory region sequence-specific DNA binding|transcription factor binding|DNA-binding transcription factor activity  RNA polymerase II-specific|DNA binding|nucleus|nuclear chromatin|protein binding|transcription corepressor activity|chorionic trophoblast cell differentiation|DNA damage response  signal transduction by p53 class mediator|positive regulation of DNA endoreduplication,Transcription factor E2F7,,4,
Q9Y3E7,CHMP3,GO:0000815|GO:0015031|GO:0005770|GO:0045324|GO:0005771|GO:0061952|GO:0005623|GO:0070062|GO:0050792|GO:0006915|GO:0032509|GO:0016197|GO:0005829|GO:0031410|GO:0031210|GO:0016236|GO:0061763|GO:1902187|GO:1902188|GO:1990381|GO:0005886|GO:0031902|GO:0051258|GO:0097352|GO:0005515|GO:0010824|GO:0019058|GO:0071985|GO:0036258|GO:0039702|GO:2000641,ESCRT III complex|protein transport|late endosome|late endosome to vacuole transport|multivesicular body|midbody abscission|cell|extracellular exosome|regulation of viral process|apoptotic process|endosome transport via multivesicular body sorting pathway|endosomal transport|cytosol|cytoplasmic vesicle|phosphatidylcholine binding|macroautophagy|multivesicular body-lysosome fusion|negative regulation of viral release from host cell|positive regulation of viral release from host cell|ubiquitin-specific protease binding|plasma membrane|late endosome membrane|protein polymerization|autophagosome maturation|protein binding|regulation of centrosome duplication|viral life cycle|multivesicular body sorting pathway|multivesicular body assembly|viral budding via host ESCRT complex|regulation of early endosome to late endosome transport,Charged multivesicular body protein 3,CGI149|NEDF|VPS24|CGI-149,4,
Q96AY4,TTC28,GO:0051301|GO:0005815|GO:0005737|GO:0000922|GO:0030496|GO:0007049|GO:0007346|GO:0019900,cell division|microtubule organizing center|cytoplasm|spindle pole|midbody|cell cycle|regulation of mitotic cell cycle|kinase binding,Tetratricopeptide repeat protein 28,KIAA1043|TPRBK,4,
Q96FZ7,CHMP6,GO:0007175|GO:0000815|GO:0015031|GO:0042176|GO:0007034|GO:0005771|GO:0061952|GO:0044877|GO:0005623|GO:0070062|GO:0016197|GO:0005829|GO:0016236|GO:0006997|GO:1904902|GO:0031902|GO:0005515|GO:0006900|GO:0016020|GO:0047485|GO:0019058|GO:0010008|GO:0036258|GO:0039702|GO:0007080|GO:0032511,negative regulation of epidermal growth factor-activated receptor activity|ESCRT III complex|protein transport|regulation of protein catabolic process|vacuolar transport|multivesicular body|midbody abscission|protein-containing complex binding|cell|extracellular exosome|endosomal transport|cytosol|macroautophagy|nucleus organization|ESCRT III complex assembly|late endosome membrane|protein binding|vesicle budding from membrane|membrane|protein N-terminus binding|viral life cycle|endosome membrane|multivesicular body assembly|viral budding via host ESCRT complex|mitotic metaphase plate congression|late endosome to vacuole transport via multivesicular body sorting pathway,Charged multivesicular body protein 6,VPS20,4,
P47974,ZFP36L2,GO:0061158|GO:1900153|GO:0030097|GO:0009611|GO:0043488|GO:0006402|GO:0003723|GO:0048103|GO:2000737|GO:0035019|GO:0071356|GO:0033077|GO:1901991|GO:0044344|GO:0045577|GO:0045599|GO:0000288|GO:0000981|GO:0006357|GO:0060216|GO:0070371|GO:0003677|GO:0005634|GO:0071560|GO:0097011|GO:0005515|GO:0035925|GO:0005737|GO:0046872|GO:0071385|GO:0071364,3'-UTR-mediated mRNA destabilization|positive regulation of nuclear-transcribed mRNA catabolic process  deadenylation-dependent decay|hemopoiesis|response to wounding|regulation of mRNA stability|mRNA catabolic process|RNA binding|somatic stem cell division|negative regulation of stem cell differentiation|somatic stem cell population maintenance|cellular response to tumor necrosis factor|T cell differentiation in thymus|negative regulation of mitotic cell cycle phase transition|cellular response to fibroblast growth factor stimulus|regulation of B cell differentiation|negative regulation of fat cell differentiation|nuclear-transcribed mRNA catabolic process  deadenylation-dependent decay|DNA-binding transcription factor activity  RNA polymerase II-specific|regulation of transcription by RNA polymerase II|definitive hemopoiesis|ERK1 and ERK2 cascade|DNA binding|nucleus|cellular response to transforming growth factor beta stimulus|cellular response to granulocyte macrophage colony-stimulating factor stimulus|protein binding|mRNA 3'-UTR AU-rich region binding|cytoplasm|metal ion binding|cellular response to glucocorticoid stimulus|cellular response to epidermal growth factor stimulus,mRNA decay activator protein ZFP36L2,BRF2|ERF2|RNF162C|TIS11D,4,
P10747,CD28,GO:0014068|GO:0045727|GO:0009897|GO:0042110|GO:0045589|GO:0097190|GO:0002020|GO:0045840|GO:0045944|GO:0001772|GO:0005887|GO:0046641|GO:0050690|GO:0006959|GO:0005829|GO:0098636|GO:0045070|GO:0050852|GO:0015026|GO:0019901|GO:0042802|GO:0031295|GO:0042089|GO:0007166|GO:0048304|GO:0042102|GO:0005886|GO:0002376|GO:0009986|GO:0002863|GO:0010629|GO:0045086|GO:0005515|GO:0010628|GO:0043066|GO:0045066|GO:0032733|GO:0045060|GO:0032753|GO:0051897,positive regulation of phosphatidylinositol 3-kinase signaling|positive regulation of translation|external side of plasma membrane|T cell activation|regulation of regulatory T cell differentiation|apoptotic signaling pathway|protease binding|positive regulation of mitotic nuclear division|positive regulation of transcription by RNA polymerase II|immunological synapse|integral component of plasma membrane|positive regulation of alpha-beta T cell proliferation|regulation of defense response to virus by virus|humoral immune response|cytosol|protein complex involved in cell adhesion|positive regulation of viral genome replication|T cell receptor signaling pathway|coreceptor activity|protein kinase binding|identical protein binding|T cell costimulation|cytokine biosynthetic process|cell surface receptor signaling pathway|positive regulation of isotype switching to IgG isotypes|positive regulation of T cell proliferation|plasma membrane|immune system process|cell surface|positive regulation of inflammatory response to antigenic stimulus|negative regulation of gene expression|positive regulation of interleukin-2 biosynthetic process|protein binding|positive regulation of gene expression|negative regulation of apoptotic process|regulatory T cell differentiation|positive regulation of interleukin-10 production|negative thymic T cell selection|positive regulation of interleukin-4 production|positive regulation of protein kinase B signaling,T-cell-specific surface glycoprotein CD28,,4,
P49321,NASP,GO:0008584|GO:0006260|GO:0015031|GO:0043486|GO:0006336|GO:0034080|GO:0005654|GO:0006335|GO:0005634|GO:0000790|GO:0005515|GO:0005737|GO:0042393|GO:0000082|GO:0001824|GO:0032991|GO:0033574,male gonad development|DNA replication|protein transport|histone exchange|DNA replication-independent nucleosome assembly|CENP-A containing nucleosome assembly|nucleoplasm|DNA replication-dependent nucleosome assembly|nucleus|nuclear chromatin|protein binding|cytoplasm|histone binding|G1/S transition of mitotic cell cycle|blastocyst development|protein-containing complex|response to testosterone,Nuclear autoantigenic sperm protein,,4,
O75531,BANF1,GO:0007084|GO:0042802|GO:0042803|GO:0008022|GO:0030261|GO:0007059|GO:0005694|GO:0009615|GO:0005654|GO:0005635|GO:0051169|GO:0005634|GO:0003677|GO:0005515|GO:0005737|GO:0047485|GO:0005829|GO:0097726|GO:0045071|GO:0075713|GO:0019899,mitotic nuclear envelope reassembly|identical protein binding|protein homodimerization activity|protein C-terminus binding|chromosome condensation|chromosome segregation|chromosome|response to virus|nucleoplasm|nuclear envelope|nuclear transport|nucleus|DNA binding|protein binding|cytoplasm|protein N-terminus binding|cytosol|LEM domain binding|negative regulation of viral genome replication|establishment of integrated proviral latency|enzyme binding,Barrier-to-autointegration factor,BAF|BCRG1,4,
O43684,BUB3,GO:0007094|GO:1901990|GO:0000777|GO:0000776|GO:0005654|GO:0006511|GO:0051301|GO:1990298|GO:0051321|GO:0005515|GO:0043130|GO:0008608|GO:0000070|GO:0031145|GO:0034501|GO:0005829|GO:0033597,mitotic spindle assembly checkpoint|regulation of mitotic cell cycle phase transition|condensed chromosome kinetochore|kinetochore|nucleoplasm|ubiquitin-dependent protein catabolic process|cell division|bub1-bub3 complex|meiotic cell cycle|protein binding|ubiquitin binding|attachment of spindle microtubules to kinetochore|mitotic sister chromatid segregation|anaphase-promoting complex-dependent catabolic process|protein localization to kinetochore|cytosol|mitotic checkpoint complex,Mitotic checkpoint protein BUB3,,4,
O43683,BUB1,GO:0008283|GO:0007094|GO:0007093|GO:0007063|GO:0000778|GO:0000777|GO:0000942|GO:0004672|GO:0000776|GO:0004674|GO:0006468|GO:0005654|GO:0051301|GO:0051983|GO:0005524|GO:0005515|GO:0006915|GO:0016020|GO:0016032|GO:0005829|GO:0051754,cell population proliferation|mitotic spindle assembly checkpoint|mitotic cell cycle checkpoint|regulation of sister chromatid cohesion|condensed nuclear chromosome kinetochore|condensed chromosome kinetochore|condensed nuclear chromosome outer kinetochore|protein kinase activity|kinetochore|protein serine/threonine kinase activity|protein phosphorylation|nucleoplasm|cell division|regulation of chromosome segregation|ATP binding|protein binding|apoptotic process|membrane|viral process|cytosol|meiotic sister chromatid cohesion  centromeric,Mitotic checkpoint serine/threonine-protein kinase BUB1,BUB1L,3,
O75528,TADA3,GO:0043967|GO:0043966|GO:0016922|GO:0031063|GO:0005671|GO:0000278|GO:0005654|GO:0072686|GO:0045893|GO:0030520|GO:0016579|GO:0019904|GO:0033276|GO:0090043|GO:0005622|GO:0000124|GO:0006357|GO:0005634|GO:0004402|GO:0005515|GO:0031647|GO:0003713|GO:0030914|GO:0001932|GO:0010628|GO:0030374,histone H4 acetylation|histone H3 acetylation|nuclear receptor binding|regulation of histone deacetylation|Ada2/Gcn5/Ada3 transcription activator complex|mitotic cell cycle|nucleoplasm|mitotic spindle|positive regulation of transcription  DNA-templated|intracellular estrogen receptor signaling pathway|protein deubiquitination|protein domain specific binding|transcription factor TFTC complex|regulation of tubulin deacetylation|intracellular|SAGA complex|regulation of transcription by RNA polymerase II|nucleus|histone acetyltransferase activity|protein binding|regulation of protein stability|transcription coactivator activity|STAGA complex|regulation of protein phosphorylation|positive regulation of gene expression|nuclear receptor transcription coactivator activity,Transcriptional adapter 3,ADA3|TADA3L,4,
O43670,ZNF207,GO:0007094|GO:0000777|GO:0008201|GO:0000776|GO:0005730|GO:0005654|GO:0005874|GO:0051301|GO:0051983|GO:0003700|GO:1990047|GO:0003723|GO:0008270|GO:0006355|GO:0046785|GO:0008017|GO:0003677|GO:0005634|GO:0001578|GO:0005515|GO:0005737|GO:0008608|GO:0000070|GO:0005819|GO:0050821|GO:0090307,mitotic spindle assembly checkpoint|condensed chromosome kinetochore|heparin binding|kinetochore|nucleolus|nucleoplasm|microtubule|cell division|regulation of chromosome segregation|DNA-binding transcription factor activity|spindle matrix|RNA binding|zinc ion binding|regulation of transcription  DNA-templated|microtubule polymerization|microtubule binding|DNA binding|nucleus|microtubule bundle formation|protein binding|cytoplasm|attachment of spindle microtubules to kinetochore|mitotic sister chromatid segregation|spindle|protein stabilization|mitotic spindle assembly,BUB3-interacting and GLEBS motif-containing protein ZNF207,BUGZ,4,
Q9UIC8,LCMT1,GO:0006481|GO:0090266|GO:0006464|GO:0042981|GO:0003880|GO:0006479|GO:0008757|GO:0005654|GO:0000086|GO:0005515|GO:0010906|GO:0031333|GO:0005829|GO:0018423,C-terminal protein methylation|regulation of mitotic cell cycle spindle assembly checkpoint|cellular protein modification process|regulation of apoptotic process|protein C-terminal carboxyl O-methyltransferase activity|protein methylation|S-adenosylmethionine-dependent methyltransferase activity|nucleoplasm|G2/M transition of mitotic cell cycle|protein binding|regulation of glucose metabolic process|negative regulation of protein-containing complex assembly|cytosol|protein C-terminal leucine carboxyl O-methyltransferase activity,Leucine carboxyl methyltransferase 1,LCMT|CGI-68,4,
O43663,PRC1,GO:0015630|GO:0008284|GO:0005654|GO:0051301|GO:1990023|GO:0000022|GO:0045171|GO:0000281|GO:0032465|GO:0005829|GO:0019901|GO:0070938|GO:0000922|GO:0000226|GO:0005886|GO:0008017|GO:0005634|GO:0005876|GO:0001578|GO:0005515|GO:0051256|GO:0005737|GO:0005819|GO:0019894|GO:0030496,microtubule cytoskeleton|positive regulation of cell population proliferation|nucleoplasm|cell division|mitotic spindle midzone|mitotic spindle elongation|intercellular bridge|mitotic cytokinesis|regulation of cytokinesis|cytosol|protein kinase binding|contractile ring|spindle pole|microtubule cytoskeleton organization|plasma membrane|microtubule binding|nucleus|spindle microtubule|microtubule bundle formation|protein binding|mitotic spindle midzone assembly|cytoplasm|spindle|kinesin binding|midbody,Protein regulator of cytokinesis 1,,4,
O43660,PLRG1,GO:1900087|GO:0016607|GO:0005662|GO:0000974|GO:0001650|GO:0080008|GO:0000398|GO:0005654|GO:0005634|GO:0031965|GO:0005515|GO:0071013|GO:0071007|GO:0034504,positive regulation of G1/S transition of mitotic cell cycle|nuclear speck|DNA replication factor A complex|Prp19 complex|fibrillar center|Cul4-RING E3 ubiquitin ligase complex|mRNA splicing  via spliceosome|nucleoplasm|nucleus|nuclear membrane|protein binding|catalytic step 2 spliceosome|U2-type catalytic step 2 spliceosome|protein localization to nucleus,Pleiotropic regulator 1,,4,
O43633,CHMP2A,GO:0000815|GO:1903543|GO:0015031|GO:0045324|GO:0060548|GO:1903723|GO:0005771|GO:0061952|GO:0005623|GO:0070062|GO:0050792|GO:0032509|GO:0016197|GO:0005829|GO:0010458|GO:0031210|GO:0016236|GO:0019904|GO:1901673|GO:1902188|GO:0051260|GO:0006997|GO:1904903|GO:0000785|GO:0005635|GO:0045184|GO:0030117|GO:0031902|GO:0051258|GO:0005515|GO:0010824|GO:0016020|GO:0019058|GO:0010324|GO:0031468|GO:0036258|GO:0039702|GO:0007080,ESCRT III complex|positive regulation of exosomal secretion|protein transport|late endosome to vacuole transport|negative regulation of cell death|negative regulation of centriole elongation|multivesicular body|midbody abscission|cell|extracellular exosome|regulation of viral process|endosome transport via multivesicular body sorting pathway|endosomal transport|cytosol|exit from mitosis|phosphatidylcholine binding|macroautophagy|protein domain specific binding|regulation of mitotic spindle assembly|positive regulation of viral release from host cell|protein homooligomerization|nucleus organization|ESCRT III complex disassembly|chromatin|nuclear envelope|establishment of protein localization|membrane coat|late endosome membrane|protein polymerization|protein binding|regulation of centrosome duplication|membrane|viral life cycle|membrane invagination|nuclear envelope reassembly|multivesicular body assembly|viral budding via host ESCRT complex|mitotic metaphase plate congression,Charged multivesicular body protein 2a,BC2|CHMP2,4,
Q76B58,BRINP3,GO:0007050|GO:0030425|GO:0071300|GO:0005739|GO:0045666|GO:0045930|GO:0005783|GO:0043025|GO:0005576,cell cycle arrest|dendrite|cellular response to retinoic acid|mitochondrion|positive regulation of neuron differentiation|negative regulation of mitotic cell cycle|endoplasmic reticulum|neuronal cell body|extracellular region,BMP/retinoic acid-inducible neural-specific protein 3,DBCCR1L|DBCCR1L1|FAM5C,4,
Q06124,PTPN11,GO:0048839|GO:0007173|GO:0050839|GO:0006641|GO:0007411|GO:0008543|GO:0005158|GO:0060125|GO:0060325|GO:0009755|GO:0001784|GO:0032528|GO:0000187|GO:0032728|GO:0045296|GO:0043274|GO:0030220|GO:0005829|GO:0032760|GO:0019901|GO:0019904|GO:0046628|GO:0048609|GO:0048806|GO:0048008|GO:0007420|GO:0046825|GO:0045931|GO:0000077|GO:0005634|GO:0031748|GO:0048011|GO:0005515|GO:0042593|GO:0043560|GO:0048013|GO:0071364|GO:0032991|GO:0032755|GO:0030971|GO:0051897|GO:0035264|GO:0035265|GO:0060020|GO:0046676|GO:0005654|GO:0021697|GO:1990782|GO:0007507|GO:0007229|GO:0051463|GO:0019221|GO:0035855|GO:0051428|GO:0070102|GO:0033277|GO:0036302|GO:0030168|GO:0035335|GO:0050731|GO:0038127|GO:0031295|GO:0061582|GO:0060338|GO:0043254|GO:0046326|GO:0046887|GO:0042445|GO:0033629|GO:0004721|GO:0033628|GO:0071260|GO:0004726|GO:0004725|GO:0005737|GO:0048873|GO:0005739|GO:0070374|GO:0050900|GO:0071345,inner ear development|epidermal growth factor receptor signaling pathway|cell adhesion molecule binding|triglyceride metabolic process|axon guidance|fibroblast growth factor receptor signaling pathway|insulin receptor binding|negative regulation of growth hormone secretion|face morphogenesis|hormone-mediated signaling pathway|phosphotyrosine residue binding|microvillus organization|activation of MAPK activity|positive regulation of interferon-beta production|cadherin binding|phospholipase binding|platelet formation|cytosol|positive regulation of tumor necrosis factor production|protein kinase binding|protein domain specific binding|positive regulation of insulin receptor signaling pathway|multicellular organismal reproductive process|genitalia development|platelet-derived growth factor receptor signaling pathway|brain development|regulation of protein export from nucleus|positive regulation of mitotic cell cycle|DNA damage checkpoint|nucleus|D1 dopamine receptor binding|neurotrophin TRK receptor signaling pathway|protein binding|glucose homeostasis|insulin receptor substrate binding|ephrin receptor signaling pathway|cellular response to epidermal growth factor stimulus|protein-containing complex|positive regulation of interleukin-6 production|receptor tyrosine kinase binding|positive regulation of protein kinase B signaling|multicellular organism growth|organ growth|Bergmann glial cell differentiation|negative regulation of insulin secretion|nucleoplasm|cerebellar cortex formation|protein tyrosine kinase binding|heart development|integrin-mediated signaling pathway|negative regulation of cortisol secretion|cytokine-mediated signaling pathway|megakaryocyte development|peptide hormone receptor binding|interleukin-6-mediated signaling pathway|abortive mitotic cell cycle|atrioventricular canal development|platelet activation|peptidyl-tyrosine dephosphorylation|positive regulation of peptidyl-tyrosine phosphorylation|ERBB signaling pathway|T cell costimulation|intestinal epithelial cell migration|regulation of type I interferon-mediated signaling pathway|regulation of protein-containing complex assembly|positive regulation of glucose import|positive regulation of hormone secretion|hormone metabolic process|negative regulation of cell adhesion mediated by integrin|phosphoprotein phosphatase activity|regulation of cell adhesion mediated by integrin|cellular response to mechanical stimulus|non-membrane spanning protein tyrosine phosphatase activity|protein tyrosine phosphatase activity|cytoplasm|homeostasis of number of cells within a tissue|mitochondrion|positive regulation of ERK1 and ERK2 cascade|leukocyte migration|cellular response to cytokine stimulus,Tyrosine-protein phosphatase non-receptor type 11,PTP2C|SHPTP2,3,
Q9H079,KATNBL1,GO:0005634|GO:0005515|GO:0097431|GO:0051495|GO:0072686|GO:0005737|GO:0032154|GO:0030496|GO:0005730|GO:0005654,nucleus|protein binding|mitotic spindle pole|positive regulation of cytoskeleton organization|mitotic spindle|cytoplasm|cleavage furrow|midbody|nucleolus|nucleoplasm,KATNB1-like protein 1,C15orf29,4,
Q96BF6,NACC2,GO:0042803|GO:0042826|GO:0008285|GO:1902231|GO:0000978|GO:0051260|GO:0001227|GO:1900477|GO:0005730|GO:0044877|GO:0006357|GO:0000122|GO:0005634|GO:0034629|GO:0003700|GO:0000790|GO:0005515|GO:0045892|GO:0005739,protein homodimerization activity|histone deacetylase binding|negative regulation of cell population proliferation|positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage|RNA polymerase II cis-regulatory region sequence-specific DNA binding|protein homooligomerization|DNA-binding transcription repressor activity  RNA polymerase II-specific|negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter|nucleolus|protein-containing complex binding|regulation of transcription by RNA polymerase II|negative regulation of transcription by RNA polymerase II|nucleus|cellular protein-containing complex localization|DNA-binding transcription factor activity|nuclear chromatin|protein binding|negative regulation of transcription  DNA-templated|mitochondrion,Nucleus accumbens-associated protein 2,BTBD14A|NAC2|RBB,4,
O43609,SPRY1,GO:0040037|GO:0034260|GO:0043407|GO:0008285|GO:0060449|GO:0005794|GO:0048513|GO:0042059|GO:0060940|GO:0005886|GO:0005654|GO:0000132|GO:0005623|GO:0051387|GO:0005515|GO:0046580|GO:0001656|GO:0001657|GO:0070373|GO:0001759|GO:0005829,negative regulation of fibroblast growth factor receptor signaling pathway|negative regulation of GTPase activity|negative regulation of MAP kinase activity|negative regulation of cell population proliferation|bud elongation involved in lung branching|Golgi apparatus|animal organ development|negative regulation of epidermal growth factor receptor signaling pathway|epithelial to mesenchymal transition involved in cardiac fibroblast development|plasma membrane|nucleoplasm|establishment of mitotic spindle orientation|cell|negative regulation of neurotrophin TRK receptor signaling pathway|protein binding|negative regulation of Ras protein signal transduction|metanephros development|ureteric bud development|negative regulation of ERK1 and ERK2 cascade|organ induction|cytosol,Protein sprouty homolog 1,,4,
P27695,APEX1,GO:0006281|GO:0006284|GO:0016607|GO:0003691|GO:0006286|GO:0044877|GO:0005623|GO:0005667|GO:0003723|GO:0016491|GO:0071375|GO:0016890|GO:0140078|GO:0090502|GO:0042981|GO:0045454|GO:0008311|GO:0005840|GO:0000784|GO:0051059|GO:0005634|GO:0008309|GO:0005515|GO:0097698|GO:0046872|GO:0071320|GO:0080111|GO:0043488|GO:0004520|GO:0005730|GO:1903507|GO:0005654|GO:0004519|GO:0003906|GO:0014912|GO:0070301|GO:0008081|GO:0031490|GO:1900087|GO:0006310|GO:0000723|GO:0005783|GO:0007568|GO:0003684|GO:0003677|GO:0004523|GO:0008408|GO:0005813|GO:1903508|GO:0004844|GO:0048471|GO:0003713|GO:0004528|GO:0003714|GO:0005737|GO:0005739|GO:0055114,DNA repair|base-excision repair|nuclear speck|double-stranded telomeric DNA binding|base-excision repair  base-free sugar-phosphate removal|protein-containing complex binding|cell|transcription regulator complex|RNA binding|oxidoreductase activity|cellular response to peptide hormone stimulus|site-specific endodeoxyribonuclease activity  specific for altered base|class I DNA-(apurinic or apyrimidinic site) endonuclease activity|RNA phosphodiester bond hydrolysis  endonucleolytic|regulation of apoptotic process|cell redox homeostasis|double-stranded DNA 3'-5' exodeoxyribonuclease activity|ribosome|nuclear chromosome  telomeric region|NF-kappaB binding|nucleus|double-stranded DNA exodeoxyribonuclease activity|protein binding|telomere maintenance via base-excision repair|metal ion binding|cellular response to cAMP|DNA demethylation|regulation of mRNA stability|endodeoxyribonuclease activity|nucleolus|negative regulation of nucleic acid-templated transcription|nucleoplasm|endonuclease activity|DNA-(apurinic or apyrimidinic site) endonuclease activity|negative regulation of smooth muscle cell migration|cellular response to hydrogen peroxide|phosphoric diester hydrolase activity|chromatin DNA binding|positive regulation of G1/S transition of mitotic cell cycle|DNA recombination|telomere maintenance|endoplasmic reticulum|aging|damaged DNA binding|DNA binding|RNA-DNA hybrid ribonuclease activity|3'-5' exonuclease activity|centrosome|positive regulation of nucleic acid-templated transcription|uracil DNA N-glycosylase activity|perinuclear region of cytoplasm|transcription coactivator activity|phosphodiesterase I activity|transcription corepressor activity|cytoplasm|mitochondrion|oxidation-reduction process,DNA-(apurinic or apyrimidinic site) lyase,APE|APE1|APEX|APX|HAP1|REF1,4,
P27694,RPA1,GO:0006281|GO:0090734|GO:0006284|GO:0016605|GO:0033683|GO:0006260|GO:1900034|GO:0006283|GO:0036297|GO:0006261|GO:0006289|GO:0042276|GO:0043565|GO:0043047|GO:0006268|GO:0003697|GO:0005654|GO:0051321|GO:0000082|GO:0032201|GO:0019985|GO:0034502|GO:0070987|GO:0042769|GO:0006295|GO:0006296|GO:0006293|GO:0006294|GO:0000724|GO:0006310|GO:1901796|GO:0000723|GO:0007004|GO:0005662|GO:0006297|GO:0006298|GO:0006974|GO:0003684|GO:0000784|GO:0005634|GO:0005515|GO:0046872|GO:0098505,DNA repair|site of DNA damage|base-excision repair|PML body|nucleotide-excision repair  DNA incision|DNA replication|regulation of cellular response to heat|transcription-coupled nucleotide-excision repair|interstrand cross-link repair|DNA-dependent DNA replication|nucleotide-excision repair|error-prone translesion synthesis|sequence-specific DNA binding|single-stranded telomeric DNA binding|DNA unwinding involved in DNA replication|single-stranded DNA binding|nucleoplasm|meiotic cell cycle|G1/S transition of mitotic cell cycle|telomere maintenance via semi-conservative replication|translesion synthesis|protein localization to chromosome|error-free translesion synthesis|DNA damage response  detection of DNA damage|nucleotide-excision repair  DNA incision  3'-to lesion|nucleotide-excision repair  DNA incision  5'-to lesion|nucleotide-excision repair  preincision complex stabilization|nucleotide-excision repair  preincision complex assembly|double-strand break repair via homologous recombination|DNA recombination|regulation of signal transduction by p53 class mediator|telomere maintenance|telomere maintenance via telomerase|DNA replication factor A complex|nucleotide-excision repair  DNA gap filling|mismatch repair|cellular response to DNA damage stimulus|damaged DNA binding|nuclear chromosome  telomeric region|nucleus|protein binding|metal ion binding|G-rich strand telomeric DNA binding,Replication protein A 70 kDa DNA-binding subunit,REPA1|RPA70,3,
O60729,CDC14B,GO:0006281|GO:0060271|GO:0007096|GO:0006470|GO:0000922|GO:1904668|GO:0000226|GO:0005730|GO:0000278|GO:0005654|GO:0008138|GO:0004722|GO:0005634|GO:0005813|GO:0005515|GO:0072686|GO:0004725|GO:0071850|GO:0005737|GO:0072425|GO:0031572|GO:0035335|GO:0032467,DNA repair|cilium assembly|regulation of exit from mitosis|protein dephosphorylation|spindle pole|positive regulation of ubiquitin protein ligase activity|microtubule cytoskeleton organization|nucleolus|mitotic cell cycle|nucleoplasm|protein tyrosine/serine/threonine phosphatase activity|protein serine/threonine phosphatase activity|nucleus|centrosome|protein binding|mitotic spindle|protein tyrosine phosphatase activity|mitotic cell cycle arrest|cytoplasm|signal transduction involved in G2 DNA damage checkpoint|G2 DNA damage checkpoint|peptidyl-tyrosine dephosphorylation|positive regulation of cytokinesis,Dual specificity protein phosphatase CDC14B,,1,25971663
